Form__File,Filed,Filing_entityperson
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,Merus N.V.  (MRUS)  COMMODORE CAPITAL LP 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"NEW ERA HELIUM INC.  (NEHC, NEHCW)  CHLM Sponsor-5 LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"Pyxis Oncology, Inc.  (PYXS)  INTEGRATED CORE STRATEGIES (US) LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-16,"Nuveen Core Plus Impact Fund  (NPCT)  Saba Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-16,"BigBear.ai Holdings, Inc.  (BBAI, BBAI-WT)  BBAI Ultimate Holdings, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-16,"Lyra Therapeutics, Inc.  (LYRA)  PERCEPTIVE ADVISORS LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"NEW ERA HELIUM INC.  (NEHC, NEHCW)  Solis Casey J "
SC 13G/A (Beneficial ownership report) ,2024-12-16,"MESOBLAST LTD  (MESO, MEOBF)  George Gregory "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,Fangdd Network Group Ltd.  (DUO)  Zeng Xi 
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"PLBY Group, Inc.  (PLBY)  Docler Holding S.a r.l. "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,SONO TEK CORP  (SOTK)  Cupero Dawn 
SC 13G (Beneficial ownership report) ,2024-12-16,"Jackson Acquisition Co II  (JACS, JACS-UN)  Harraden Circle Investments, LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"NEW ERA HELIUM INC.  (NEHC, NEHCW)  Solis Joel G "
SC 13D/A (Beneficial ownership report) ,2024-12-16,"Vast Renewables Ltd  (VSTE, VSTEW)  AgCentral Energy Pty Ltd. "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"NEW ERA HELIUM INC.  (NEHC, NEHCW)  CR Financial Holdings, Inc. "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"M-tron Industries, Inc.  (MPTI)  GAMCO INVESTORS, INC. ET AL "
SC 13D/A (Beneficial ownership report) ,2024-12-16,CARVANA CO.  (CVNA)  GARCIA ERNEST C. II 
SC 13D (Beneficial ownership report) ,2024-12-16,TuSimple Holdings Inc.  (TSPH)  Hou Xiaodi 
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"RumbleOn, Inc.  (RMBL)  Tkach Mark "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"NEW ERA HELIUM INC.  (NEHC, NEHCW)  LIPMAN JOHN C "
SCHEDULE 13D/A (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"LEE ENTERPRISES, Inc  (LEE)  Jerrilyn M Hoffmann Revocable Trust dated May 30, 2001 "
SCHEDULE 13D (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"NEW ERA HELIUM INC.  (NEHC, NEHCW)  Pecos Slope Holdings LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,THUMZUP MEDIA Corp  (TZUP)  THOMAS JOE D 
SC 13D/A (Beneficial ownership report) ,2024-12-16,"BlackRock Capital Allocation Term Trust  (BCAT)  Saba Capital Management, L.P. "
SCHEDULE 13D (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"Atea Pharmaceuticals, Inc.  (AVIR)  BML Investment Partners, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-12-16,"Fangdd Network Group Ltd.  (DUO)  L1 Capital Global Opportunities Master Fund, Ltd. "
SC 13D/A (Beneficial ownership report) ,2024-12-16,"Acutus Medical, Inc.  (AFIB)  Flynn James E "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-16,"NEW ERA HELIUM INC.  (NEHC, NEHCW)  Solis Robert C "
SC 13D (Beneficial ownership report) ,2024-12-13,BrilliA Inc  (BRIA)  Podiono Salim 
SC 13D/A (Beneficial ownership report) ,2024-12-13,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND  (AFB)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"BLACKROCK MUNICIPAL INCOME FUND, INC.  (MUI)  BANK OF AMERICA CORP /DE/ "
SC 13G (Beneficial ownership report) ,2024-12-13,"Groupon, Inc.  (GRPN)  GARNET EQUITY CAPITAL HOLDINGS, INC. "
SC 13G (Beneficial ownership report) ,2024-12-13,"Shepherd Ave Capital Acquisition Corp  (SPHA, SPHAU)  Feis Lawrence "
SC 13D/A (Beneficial ownership report) ,2024-12-13,Nuveen Municipal Credit Opportunities Fund  (NMCO)  BANK OF AMERICA CORP /DE/ 
SC 13G (Beneficial ownership report) ,2024-12-13,"Nkarta, Inc.  (NKTX)  CITADEL ADVISORS LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"BLACKROCK MUNIHOLDINGS NEW YORK QUALITY FUND, INC.  (MHN)  BANK OF AMERICA CORP /DE/ "
SC 13G (Beneficial ownership report) ,2024-12-13,"Liberty Global Ltd.  (LBTYA, LBTYB, LBTYK)  ACR Alpine Capital Research, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-13,NUVEEN NEW YORK QUALITY MUNICIPAL INCOME FUND  (NAN)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"BNY MELLON MUNICIPAL INCOME, INC.  (DMF)  BANK OF AMERICA CORP /DE/ "
SC 13D/A (Beneficial ownership report) ,2024-12-13,Nuveen Minnesota Quality Municipal Income Fund  (NMS)  BANK OF AMERICA CORP /DE/ 
SC 13G/A (Beneficial ownership report) ,2024-12-13,Prestige Wealth Inc.  (PWM)  Wang Qianfan 
SC 13G (Beneficial ownership report) ,2024-12-13,"Landsea Homes Corp  (LSEA, LSEAW)  Yu Jian Jun "
SC 13D/A (Beneficial ownership report) ,2024-12-13,FREYR Battery  Teknovekst Invest AS 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"ADAMS RESOURCES & ENERGY, INC.  (AE)  THG Securities Fund, L.P. "
SC 13G/A (Beneficial ownership report) ,2024-12-13,John Hancock Asset-Based Lending Fund  MARATHON ASSET MANAGEMENT LP 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"BNY MELLON STRATEGIC MUNICIPAL BOND FUND, INC.  (DSM)  BANK OF AMERICA CORP /DE/ "
SC 13G/A (Beneficial ownership report) ,2024-12-13,"Maris Tech Ltd.  (MTEK, MTEKW)  Jacobsen Per A. "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"BLACKROCK MUNIYIELD FUND, INC.  (MYD)  BANK OF AMERICA CORP /DE/ "
SC 13D (Beneficial ownership report) ,2024-12-13,U-BX Technology Ltd.  (UBXG)  CHEN Jian 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"ModivCare Inc  (MODV)  Q Global Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"PIONEER MUNICIPAL HIGH INCOME FUND, INC.  (MHI)  BANK OF AMERICA CORP /DE/ "
SC 13G (Beneficial ownership report) ,2024-12-13,"DarioHealth Corp.  (DRIO)  Tasso Partners, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-13,BlackRock Long-Term Municipal Advantage Trust  (BTA)  BANK OF AMERICA CORP /DE/ 
SC 13D (Beneficial ownership report) ,2024-12-13,"Enviva, LLC  (EVVAQ)  AIPCF VIII (Cayman), Ltd. "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"P10, Inc.  (PX)  210 Capital, LLC "
SC 13G (Beneficial ownership report) ,2024-12-13,Prestige Wealth Inc.  (PWM)  WONG NGAT 
SC 13D/A (Beneficial ownership report) ,2024-12-13,Nuveen Quality Municipal Income Fund  (NAD)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"Great Elm Capital Corp.  (GECC, GECCH, GECCI, GECCO, GECCZ)  Northern Right Capital Management, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-13,Invesco Advantage Municipal Income Trust II  (VKI)  BANK OF AMERICA CORP /DE/ 
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-13,"Landsea Homes Corp  (LSEA, LSEAW)  EAST WEST BANCORP INC "
SC 13D/A (Beneficial ownership report) ,2024-12-13,Invesco Municipal Income Opportunities Trust  (OIA)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"Arqit Quantum Inc.  (ARQQ, ARQQW)  D2BW Ltd "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-13,"CalciMedica, Inc.  (CALC)  Stonepine Capital Management, LLC "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-13,AgEagle Aerial Systems Inc.  (UAVS)  Corley Thomas John 
SC 13G (Beneficial ownership report) ,2024-12-13,"Enviva, LLC  (EVVAQ)  ARES MANAGEMENT LLC "
SCHEDULE 13G (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-13,"Solaris Energy Infrastructure, Inc.  (SEI)  SUMMIT PARTNERS PUBLIC ASSET MANAGEMENT, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-13,Nuveen AMT-Free Quality Municipal Income Fund  (NEA)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-13,Aesthetic Medical International Holdings Group Ltd  (PAIYY)  Australia Wanda International Co Ltd 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"BLACKROCK MUNIYIELD QUALITY FUND, INC.  (MQY)  BANK OF AMERICA CORP /DE/ "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"NATURAL GAS SERVICES GROUP INC  (NGS)  Mill Road Capital III, L.P. "
SC 13G (Beneficial ownership report) ,2024-12-13,"Avid Bioservices, Inc.  (CDMO)  GLAZER CAPITAL, LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"Great Elm Capital Corp.  (GECC, GECCH, GECCI, GECCO, GECCZ)  Great Elm Group, Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-13,INCOME OPPORTUNITY REALTY INVESTORS INC /TX/  (IOR)  TRANSCONTINENTAL REALTY INVESTORS INC 
SC 13G/A (Beneficial ownership report) ,2024-12-13,"Bridgeline Digital, Inc.  (BLIN)  Jacobsen Per A. "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"Critical Metals Corp.  (CRML, CRMLW)  European Lithium Ltd. "
SC 13D/A (Beneficial ownership report) ,2024-12-13,BLACKROCK NEW YORK MUNICIPAL INCOME TRUST  (BNY)  BANK OF AMERICA CORP /DE/ 
SC 13G/A (Beneficial ownership report) ,2024-12-13,"Kodiak Gas Services, Inc.  (KGS)  Frontier TopCo Partnership, L.P. "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"ModivCare Inc  (MODV)  Coliseum Capital Management, LLC "
SC 13G/A (Beneficial ownership report) ,2024-12-13,AC Immune SA  (ACIU)  AFFIRIS AG in Liqu 
SC 13D/A (Beneficial ownership report) ,2024-12-13,Invesco California Value Municipal Income Trust  (VCV)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-13,NEUBERGER BERMAN MUNICIPAL FUND INC.  (NBH)  BANK OF AMERICA CORP /DE/ 
SC 13G/A (Beneficial ownership report) ,2024-12-13,"LIGHTPATH TECHNOLOGIES INC  (LPTH)  Marathon Micro Fund, LP "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"United Homes Group, Inc.  (UHG, UHGWW)  Nieri Michael P. "
SC 13G (Beneficial ownership report) ,2024-12-13,"CERO THERAPEUTICS HOLDINGS, INC.  (CERO, CEROW)  Corey Lawrence "
SC 13D (Beneficial ownership report) ,2024-12-13,"Corebridge Financial, Inc.  (CRBD, CRBG)  NIPPON LIFE INSURANCE CO "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-13,"Landsea Homes Corp  (LSEA, LSEAW)  EAST WEST BANCORP INC "
SC 13D/A (Beneficial ownership report) ,2024-12-13,NUVEEN MUNICIPAL HIGH INCOME OPPORTUNITY FUND  (NMZ)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"BNY Mellon Municipal Bond Infrastructure Fund, Inc.  (DMB)  BANK OF AMERICA CORP /DE/ "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"BNY MELLON STRATEGIC MUNICIPALS, INC.  (LEO)  BANK OF AMERICA CORP /DE/ "
SCHEDULE 13D (Schedule filed to report acquisition of beneficial ownership of more than 5% of a class of equity securities) ,2024-12-13,"Presidio Property Trust, Inc.  (SQFT, SQFTP, SQFTW)  Radoff Bradley Louis "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"BLACKROCK MUNIHOLDINGS NEW JERSEY QUALITY FUND, INC.  (MUJ)  BANK OF AMERICA CORP /DE/ "
SC 13D/A (Beneficial ownership report) ,2024-12-13,Invesco Pennsylvania Value Municipal Income Trust  (VPV)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"Paycom Software, Inc.  (PAYC)  Richison Chad R. "
SC 13D/A (Beneficial ownership report) ,2024-12-13,Federated Hermes Premier Municipal Income Fund  (FMN)  BANK OF AMERICA CORP /DE/ 
SC 13G (Beneficial ownership report) ,2024-12-13,"PSYENCE BIOMEDICAL LTD.  (PBM, PBMWW)  White Lion Capital LLC "
SC 13D/A (Beneficial ownership report) ,2024-12-13,Nuveen Municipal Credit Income Fund  (NZF)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"MYERS INDUSTRIES INC  (MYE)  GAMCO INVESTORS, INC. ET AL "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"BLACKROCK MUNIASSETS FUND, INC.  (MUA)  BANK OF AMERICA CORP /DE/ "
SC 13D/A (Beneficial ownership report) ,2024-12-13,"ORMAT TECHNOLOGIES, INC.  (ORA)  ORIX CORP "
SC 13D/A (Beneficial ownership report) ,2024-12-13,PIMCO Flexible Municipal Income Fund  (PMFAX)  BANK OF AMERICA CORP /DE/ 
SC 13D (Beneficial ownership report) ,2024-12-13,"Gladstone Alternative Income Fund  Gladstone Companies, Ltd. "
SC 13G (Beneficial ownership report) ,2024-12-13,"Latch, Inc.  (LTCH)  Pan-Am Equities Inc. "
SC 13D/A (Beneficial ownership report) ,2024-12-13,Invesco Trust for Investment Grade New York Municipals  (VTN)  BANK OF AMERICA CORP /DE/ 
SC 13D/A (Beneficial ownership report) ,2024-12-13,"PIONEER MUNICIPAL HIGH INCOME ADVANTAGE FUND, INC.  (MAV)  BANK OF AMERICA CORP /DE/ "
SCHEDULE 13G/A (Schedule filed by certain investors to report beneficial ownership of more than 5% of a class of equity securities) ,2024-12-13,"Smart Share Global Ltd  (EM)  China Ventures Fund I, Limited Partnership "
SC 13D (Beneficial ownership report) ,2024-12-13,Prestige Wealth Inc.  (PWM)  Prestige Financial Holdings Group Ltd. 
